customer_id,signup_date,segment,industry,country,plan,mrr,contract_length,number_of_users,support_tickets,usage_score,nps_score,churn_date,is_churned,lifetime_months,total_revenue,clv,last_transaction_date,recency_days,transaction_count,avg_transaction_value,cohort_month
CUST_000001,31-01-2023,Startup,Healthcare,Other,Basic,49,24,3,2,53,7,,0,23.3,1194.63,1194.63,28-12-2024,3,24,49.77625,2023-01
CUST_000002,30-12-2023,Startup,Retail,USA,Basic,49,12,4,1,55,60,,0,12.2,676.89,676.89,29-12-2024,2,13,52.06846154,2023-12
CUST_000003,10-05-2022,Small Business,Retail,Other,Professional,149,12,8,1,52,7,22-03-2024,1,22.7,3470.2,3470.2,10-03-2024,296,23,150.8782609,2022-05
CUST_000004,18-07-2023,Startup,Retail,USA,Business,399,1,1,3,54,17,,0,17.7,7107.69,7107.69,18-12-2024,13,18,394.8716667,2023-07
CUST_000005,04-02-2023,Startup,Technology,USA,Business,399,12,2,0,55,100,,0,23.2,9839.84,9839.84,04-12-2024,27,23,427.8191304,2023-02
CUST_000006,31-12-2022,Small Business,Retail,UK,Basic,49,12,6,1,45,-11,,0,24.4,1249.22,1249.22,28-12-2024,3,25,49.9688,2022-12
CUST_000007,20-09-2024,Small Business,Other,Canada,Professional,149,1,5,2,50,9,,0,3.4,625.35,625.35,20-12-2024,11,4,156.3375,2024-09
CUST_000008,10-11-2022,Startup,Finance,USA,Business,399,24,4,3,68,3,,0,26.1,10379.77,10379.77,10-12-2024,21,26,399.2219231,2022-11
CUST_000009,26-06-2024,Enterprise,Manufacturing,USA,Professional,149,1,407,2,44,94,,0,6.3,1103.88,1103.88,26-12-2024,5,7,157.6971429,2024-06
CUST_000010,01-05-2020,Startup,Retail,Australia,Basic,49,12,1,3,71,-22,,0,56.8,2793.27,2793.27,01-12-2024,30,56,49.87982143,2020-05
CUST_000011,11-04-2021,Mid-Market,Real Estate,Other,Business,399,12,34,3,33,64,,0,45.3,18276.74,18276.74,11-12-2024,20,45,406.1497778,2021-04
CUST_000012,23-05-2023,Small Business,Real Estate,USA,Basic,49,36,5,0,71,-34,,0,19.6,1009.87,1009.87,23-12-2024,8,20,50.4935,2023-05
CUST_000013,26-11-2020,Startup,Technology,USA,Enterprise,999,1,4,1,63,-20,31-03-2021,1,4.2,5075.71,5075.71,26-03-2021,1376,5,1015.142,2020-11
CUST_000014,22-01-2024,Mid-Market,Finance,France,Enterprise,999,12,31,0,71,-1,,0,11.5,11958.37,11958.37,22-12-2024,9,12,996.5308333,2024-01
