transaction_id,customer_id,transaction_date,amount,transaction_type,status,payment_method,year_month,cohort_month,transaction_month
CUST_000001_TXN_0001,CUST_000001,31-01-2023,52.78,New,Completed,Credit Card,2023-01,2023-01,2023-01
CUST_000001_TXN_0002,CUST_000001,28-02-2023,52.87,Subscription,Completed,Credit Card,2023-02,2023-01,2023-02
CUST_000001_TXN_0003,CUST_000001,28-03-2023,52.84,Subscription,Completed,Credit Card,2023-03,2023-01,2023-03
CUST_000001_TXN_0004,CUST_000001,28-04-2023,53.22,Subscription,Completed,Credit Card,2023-04,2023-01,2023-04
CUST_000001_TXN_0005,CUST_000001,28-05-2023,51.86,Subscription,Completed,Wire Transfer,2023-05,2023-01,2023-05
CUST_000001_TXN_0006,CUST_000001,28-06-2023,47.05,Subscription,Completed,PayPal,2023-06,2023-01,2023-06
CUST_000001_TXN_0007,CUST_000001,28-07-2023,49.53,Subscription,Completed,Wire Transfer,2023-07,2023-01,2023-07
CUST_000001_TXN_0008,CUST_000001,28-08-2023,47.83,Subscription,Completed,Credit Card,2023-08,2023-01,2023-08
CUST_000001_TXN_0009,CUST_000001,28-09-2023,48.12,Subscription,Completed,Credit Card,2023-09,2023-01,2023-09
CUST_000001_TXN_0010,CUST_000001,28-10-2023,69.56,Subscription,Completed,Credit Card,2023-10,2023-01,2023-10
CUST_000001_TXN_0011,CUST_000001,28-11-2023,45.58,Subscription,Completed,ACH,2023-11,2023-01,2023-11
CUST_000001_TXN_0012,CUST_000001,28-12-2023,51.68,Subscription,Completed,ACH,2023-12,2023-01,2023-12
CUST_000001_TXN_0013,CUST_000001,28-01-2024,44.99,Subscription,Completed,Credit Card,2024-01,2023-01,2024-01
CUST_000001_TXN_0014,CUST_000001,28-02-2024,48.59,Subscription,Completed,Credit Card,2024-02,2023-01,2024-02
CUST_000001_TXN_0015,CUST_000001,28-03-2024,46.45,Subscription,Completed,Credit Card,2024-03,2023-01,2024-03
CUST_000001_TXN_0016,CUST_000001,28-04-2024,52.59,Subscription,Completed,Credit Card,2024-04,2023-01,2024-04
CUST_000001_TXN_0017,CUST_000001,28-05-2024,51.33,Subscription,Completed,Credit Card,2024-05,2023-01,2024-05
CUST_000001_TXN_0018,CUST_000001,28-06-2024,44.19,Subscription,Completed,Credit Card,2024-06,2023-01,2024-06
CUST_000001_TXN_0019,CUST_000001,28-07-2024,46.18,Subscription,Completed,ACH,2024-07,2023-01,2024-07
CUST_000001_TXN_0020,CUST_000001,28-08-2024,53.8,Subscription,Completed,Wire Transfer,2024-08,2023-01,2024-08
CUST_000001_TXN_0021,CUST_000001,28-09-2024,45.26,Subscription,Completed,Credit Card,2024-09,2023-01,2024-09
CUST_000001_TXN_0022,CUST_000001,28-10-2024,45.03,Subscription,Completed,Credit Card,2024-10,2023-01,2024-10
CUST_000001_TXN_0023,CUST_000001,28-11-2024,47.2,Subscription,Completed,Credit Card,2024-11,2023-01,2024-11
CUST_000001_TXN_0024,CUST_000001,28-12-2024,46.1,Subscription,Completed,ACH,2024-12,2023-01,2024-12
CUST_000002_TXN_0001,CUST_000002,30-12-2023,47.67,New,Completed,Credit Card,2023-12,2023-12,2023-12
CUST_000002_TXN_0002,CUST_000002,30-01-2024,77.5,Subscription,Completed,Credit Card,2024-01,2023-12,2024-01
CUST_000002_TXN_0003,CUST_000002,29-02-2024,47.37,Subscription,Completed,Wire Transfer,2024-02,2023-12,2024-02
CUST_000002_TXN_0004,CUST_000002,29-03-2024,47.56,Subscription,Completed,Credit Card,2024-03,2023-12,2024-03
CUST_000002_TXN_0005,CUST_000002,29-04-2024,44.15,Subscription,Completed,Credit Card,2024-04,2023-12,2024-04
CUST_000002_TXN_0006,CUST_000002,29-05-2024,47.9,Subscription,Completed,PayPal,2024-05,2023-12,2024-05
CUST_000002_TXN_0007,CUST_000002,29-06-2024,51.76,Subscription,Completed,ACH,2024-06,2023-12,2024-06
CUST_000002_TXN_0008,CUST_000002,29-07-2024,48.19,Subscription,Completed,Wire Transfer,2024-07,2023-12,2024-07
CUST_000002_TXN_0009,CUST_000002,29-08-2024,50.81,Subscription,Completed,Credit Card,2024-08,2023-12,2024-08
CUST_000002_TXN_0010,CUST_000002,29-09-2024,49.69,Subscription,Completed,PayPal,2024-09,2023-12,2024-09
CUST_000002_TXN_0011,CUST_000002,29-10-2024,44.26,Subscription,Completed,Credit Card,2024-10,2023-12,2024-10
CUST_000002_TXN_0012,CUST_000002,29-11-2024,50.09,Subscription,Completed,ACH,2024-11,2023-12,2024-11
CUST_000002_TXN_0013,CUST_000002,29-12-2024,69.94,Subscription,Completed,Wire Transfer,2024-12,2023-12,2024-12
CUST_000003_TXN_0001,CUST_000003,10-05-2022,157.07,New,Completed,Credit Card,2022-05,2022-05,2022-05
CUST_000003_TXN_0002,CUST_000003,10-06-2022,158.84,Subscription,Completed,Credit Card,2022-06,2022-05,2022-06
CUST_000003_TXN_0003,CUST_000003,10-07-2022,158.59,Subscription,Completed,Credit Card,2022-07,2022-05,2022-07
CUST_000003_TXN_0004,CUST_000003,10-08-2022,147.34,Subscription,Completed,PayPal,2022-08,2022-05,2022-08
CUST_000003_TXN_0005,CUST_000003,10-09-2022,143.44,Subscription,Completed,Credit Card,2022-09,2022-05,2022-09
CUST_000003_TXN_0006,CUST_000003,10-10-2022,161.65,Subscription,Completed,Wire Transfer,2022-10,2022-05,2022-10
CUST_000003_TXN_0007,CUST_000003,10-11-2022,156.48,Subscription,Completed,ACH,2022-11,2022-05,2022-11
CUST_000003_TXN_0008,CUST_000003,10-12-2022,140.87,Subscription,Completed,Credit Card,2022-12,2022-05,2022-12
CUST_000003_TXN_0009,CUST_000003,10-01-2023,144.08,Subscription,Completed,Credit Card,2023-01,2022-05,2023-01
CUST_000003_TXN_0010,CUST_000003,10-02-2023,152.6,Subscription,Completed,Wire Transfer,2023-02,2022-05,2023-02
CUST_000003_TXN_0011,CUST_000003,10-03-2023,156.64,Subscription,Completed,ACH,2023-03,2022-05,2023-03
CUST_000003_TXN_0012,CUST_000003,10-04-2023,152.74,Subscription,Completed,Credit Card,2023-04,2022-05,2023-04
CUST_000003_TXN_0013,CUST_000003,10-05-2023,150.18,Subscription,Completed,Credit Card,2023-05,2022-05,2023-05
CUST_000003_TXN_0014,CUST_000003,10-06-2023,155.08,Subscription,Completed,Credit Card,2023-06,2022-05,2023-06
CUST_000003_TXN_0015,CUST_000003,10-07-2023,136.73,Subscription,Completed,ACH,2023-07,2022-05,2023-07
CUST_000003_TXN_0016,CUST_000003,10-08-2023,135.07,Subscription,Completed,Credit Card,2023-08,2022-05,2023-08
CUST_000003_TXN_0017,CUST_000003,10-09-2023,157.2,Subscription,Completed,Credit Card,2023-09,2022-05,2023-09
CUST_000003_TXN_0018,CUST_000003,10-10-2023,150.24,Subscription,Completed,PayPal,2023-10,2022-05,2023-10
CUST_000003_TXN_0019,CUST_000003,10-11-2023,161.82,Subscription,Completed,Credit Card,2023-11,2022-05,2023-11
CUST_000003_TXN_0020,CUST_000003,10-12-2023,137.16,Subscription,Completed,ACH,2023-12,2022-05,2023-12
CUST_000003_TXN_0021,CUST_000003,10-01-2024,158.01,Subscription,Completed,Wire Transfer,2024-01,2022-05,2024-01
CUST_000003_TXN_0022,CUST_000003,10-02-2024,156.37,Subscription,Completed,PayPal,2024-02,2022-05,2024-02
CUST_000003_TXN_0023,CUST_000003,10-03-2024,142,Subscription,Completed,Credit Card,2024-03,2022-05,2024-03
CUST_000004_TXN_0001,CUST_000004,18-07-2023,389.97,New,Completed,Wire Transfer,2023-07,2023-07,2023-07
CUST_000004_TXN_0002,CUST_000004,18-08-2023,436.24,Subscription,Completed,ACH,2023-08,2023-07,2023-08
CUST_000004_TXN_0003,CUST_000004,18-09-2023,408.07,Subscription,Completed,Credit Card,2023-09,2023-07,2023-09
CUST_000004_TXN_0004,CUST_000004,18-10-2023,438.68,Subscription,Completed,Credit Card,2023-10,2023-07,2023-10
CUST_000004_TXN_0005,CUST_000004,18-11-2023,389.85,Subscription,Completed,Credit Card,2023-11,2023-07,2023-11
CUST_000004_TXN_0006,CUST_000004,18-12-2023,413.6,Subscription,Completed,Credit Card,2023-12,2023-07,2023-12
CUST_000004_TXN_0007,CUST_000004,18-01-2024,388.68,Subscription,Completed,Credit Card,2024-01,2023-07,2024-01
CUST_000004_TXN_0008,CUST_000004,18-02-2024,380.67,Subscription,Completed,Credit Card,2024-02,2023-07,2024-02
CUST_000004_TXN_0009,CUST_000004,18-03-2024,399.69,Subscription,Completed,Credit Card,2024-03,2023-07,2024-03
CUST_000004_TXN_0010,CUST_000004,18-04-2024,372.64,Subscription,Completed,Credit Card,2024-04,2023-07,2024-04
CUST_000004_TXN_0011,CUST_000004,18-05-2024,372.97,Subscription,Completed,Credit Card,2024-05,2023-07,2024-05
CUST_000004_TXN_0012,CUST_000004,18-06-2024,375.24,Subscription,Completed,ACH,2024-06,2023-07,2024-06
CUST_000004_TXN_0013,CUST_000004,18-07-2024,385.23,Subscription,Completed,PayPal,2024-07,2023-07,2024-07
CUST_000004_TXN_0014,CUST_000004,18-08-2024,366.13,Subscription,Completed,ACH,2024-08,2023-07,2024-08
CUST_000004_TXN_0015,CUST_000004,18-09-2024,393.07,Subscription,Completed,Credit Card,2024-09,2023-07,2024-09
CUST_000004_TXN_0016,CUST_000004,18-10-2024,362.31,Subscription,Completed,Wire Transfer,2024-10,2023-07,2024-10
CUST_000004_TXN_0017,CUST_000004,18-11-2024,403.2,Subscription,Completed,Credit Card,2024-11,2023-07,2024-11
CUST_000004_TXN_0018,CUST_000004,18-12-2024,431.45,Subscription,Completed,Credit Card,2024-12,2023-07,2024-12
CUST_000005_TXN_0001,CUST_000005,04-02-2023,363.33,New,Completed,ACH,2023-02,2023-02,2023-02
CUST_000005_TXN_0002,CUST_000005,04-03-2023,432.21,Subscription,Completed,Credit Card,2023-03,2023-02,2023-03
CUST_000005_TXN_0003,CUST_000005,04-04-2023,560.17,Subscription,Completed,Credit Card,2023-04,2023-02,2023-04
CUST_000005_TXN_0004,CUST_000005,04-05-2023,385.63,Subscription,Completed,Credit Card,2023-05,2023-02,2023-05
CUST_000005_TXN_0005,CUST_000005,04-06-2023,372.4,Subscription,Completed,Credit Card,2023-06,2023-02,2023-06
CUST_000005_TXN_0006,CUST_000005,04-07-2023,369.87,Subscription,Completed,Credit Card,2023-07,2023-02,2023-07
CUST_000005_TXN_0007,CUST_000005,04-08-2023,411.11,Subscription,Completed,ACH,2023-08,2023-02,2023-08
CUST_000005_TXN_0008,CUST_000005,04-09-2023,364.81,Subscription,Completed,Credit Card,2023-09,2023-02,2023-09
